DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
    26        8       1181.7556         1168.8952  alive
    26        9       1272.0848         1262.4145  alive
    26       10       1369.3184         1352.8427  alive
    26       11       1473.9842         1438.2356  alive
    26       12       1586.6502         1516.9870  alive
    26       13       1707.9281         1587.9153  alive
    26       14       1838.4760         1650.3055  alive
    26       15       1979.0025         1703.9048  alive
    26       16       2130.2704         1748.8778  alive
    26       17       2293.1007         1785.7333  alive
    26       18       2468.3771         1815.2320  alive
    26       19       2657.0510         1838.2918  alive
    26       20       2860.1465         1855.8970  alive
    26       21       3078.7658         1869.0236  alive
    26       22       3314.0957         1878.5814  alive
    26       23       3567.4133         1885.3773  alive
    26       24       3840.0936         1890.0956  alive
    26       25       4133.6166         1893.2940  alive
    26       26       4449.5755         1895.4106  alive
    27        0        631.8681          624.7190  KNOCKED OUT
    27        1        680.1658          671.4550  KNOCKED OUT
    27        2        732.1552          721.2410  KNOCKED OUT
    27        3        788.1186          774.0910  KNOCKED OUT
    27        4        848.3595          829.9526  KNOCKED OUT
    27        5        913.2051          888.6913  KNOCKED OUT
    27        6        983.0072          950.0766  KNOCKED OUT
    27        7       1058.1448         1028.1074  alive
    27        8       1139.0256         1122.5104  alive
    27        9       1226.0886         1217.0765  alive
    27       10       1319.8064         1309.5808  alive
    27       11       1420.6877         1397.9385  alive
    27       12       1529.2800         1480.3485  alive
    27       13       1646.1727         1555.4027  alive
    27       14       1772.0002         1622.1508  alive
    27       15       1907.4456         1680.1182  alive
    27       16       2053.2439         1729.2789  alive
    27       17       2210.1865         1769.9930  alive
    27       18       2379.1253         1802.9212  alive
    27       19       2560.9771         1828.9277  alive
    27       20       2756.7290         1848.9852  alive
    27       21       2967.4435         1864.0910  alive
    27       22       3194.2643         1875.1997  alive
    27       23       3438.4224         1883.1761  alive
    27       24       3701.2431         1888.7678  alive
    27       25       3984.1529         1892.5949  alive
    27       26       4288.6873         1895.1517  alive
    27       27       4616.4992         1896.8191  alive
